Date;Service nº;City;Zip code;Service type;Service coordinates;Pick up parcels;Drop off parcels
3/1/22;35781379;MADRID;28005;SameDay Drop off;;0;1
3/1/22;35781388;MADRID;28005;SameDay Drop off;;0;1
3/1/22;35781398;MADRID;28005;SameDay Drop off;;0;1
3/1/22;35781423;MADRID;28005;SameDay Drop off;;0;1
3/1/22;35781430;MADRID;28005;SameDay Drop off;;0;1
3/1/22;35781461;MADRID;28012;SameDay Drop off;;0;1
3/1/22;35781469;MADRID;28005;SameDay Drop off;;0;1
3/1/22;35781472;MADRID;28005;SameDay Drop off;;0;1
3/1/22;35781480;MADRID;28005;SameDay Drop off;;0;1
3/1/22;35781486;MADRID;28012;SameDay Drop off;;0;1
3/1/22;35781489;MADRID;28005;SameDay Drop off;;0;1
3/1/22;35781491;MADRID;28004;SameDay Drop off;;0;1
3/1/22;35781492;MADRID;28005;SameDay Drop off;;0;1
3/1/22;35781492;MADRID;28005;SameDay Drop off;;0;1
3/1/22;35781510;MADRID;28012;SameDay Drop off;;0;1
3/1/22;35781511;MADRID;28005;SameDay Drop off;;0;1
3/1/22;35781513;MADRID;28005;SameDay Drop off;;0;1
3/1/22;35781517;MADRID;28005;SameDay Drop off;;0;1
3/1/22;35781517;MADRID;28005;SameDay Drop off;;0;1
3/1/22;35781517;MADRID;28005;SameDay Drop off;;0;1
3/1/22;35781519;MADRID;28012;SameDay Drop off;;0;1
3/1/22;35781519;MADRID;28014;SameDay Drop off;;0;1
3/1/22;35781519;MADRID;28014;SameDay Drop off;;0;1
3/1/22;35781519;MADRID;28014;SameDay Drop off;;0;1
3/1/22;35781520;MADRID;28012;SameDay Drop off;;0;1
3/1/22;35781520;MADRID;28014;SameDay Drop off;;0;1
3/1/22;35781521;MADRID;28005;SameDay Drop off;;0;1
3/1/22;35781523;MADRID;28005;SameDay Drop off;;0;1
3/1/22;35781525;MADRID;28012;SameDay Drop off;;0;1
3/1/22;35781527;MADRID;28004;SameDay Drop off;;0;1
3/1/22;35781527;MADRID;28005;SameDay Drop off;;0;1
3/1/22;35781528;MADRID;28005;SameDay Drop off;;0;1
3/1/22;35781529;MADRID;28005;SameDay Drop off;;0;1
3/1/22;35781533;MADRID;28015;SameDay Drop off;;0;1
3/1/22;35781534;MADRID;28005;SameDay Drop off;;0;1
3/1/22;35781535;MADRID;28015;SameDay Drop off;;0;1
3/1/22;35781538;MADRID;28015;SameDay Drop off;;0;1
3/1/22;35781539;MADRID;28004;SameDay Drop off;;0;1
3/1/22;35781542;MADRID;28005;SameDay Drop off;;0;1
3/1/22;35781545;MADRID;28004;SameDay Drop off;;0;1
3/1/22;35781545;MADRID;28004;SameDay Drop off;;0;1
3/1/22;35781549;MADRID;28014;SameDay Drop off;;0;1
3/1/22;35781549;MADRID;28014;SameDay Drop off;;0;1
3/1/22;35781551;MADRID;28005;SameDay Drop off;;0;1
3/1/22;35781552;MADRID;28005;SameDay Drop off;;0;1
3/1/22;35781552;MADRID;28005;SameDay Drop off;;0;1
3/1/22;35781555;MADRID;28004;SameDay Drop off;;0;1
3/1/22;35781555;MADRID;28005;SameDay Drop off;;0;1
3/1/22;35781555;MADRID;28005;SameDay Drop off;;0;1
3/1/22;35781556;MADRID;28005;SameDay Drop off;;0;1
3/1/22;35781556;MADRID;28004;SameDay Drop off;;0;1
3/1/22;35781557;MADRID;28005;SameDay Drop off;;0;1
3/1/22;35781557;MADRID;28005;SameDay Drop off;;0;1
3/1/22;35781559;MADRID;28015;SameDay Drop off;;0;1
3/1/22;35781559;MADRID;28015;SameDay Drop off;;0;1
3/1/22;35781561;MADRID;28013;SameDay Drop off;;0;1
3/1/22;35781563;MADRID;28012;SameDay Drop off;;0;1
3/1/22;35781565;MADRID;28013;SameDay Drop off;;0;1
3/1/22;35781566;MADRID;28004;SameDay Drop off;;0;1
3/1/22;35781567;MADRID;28013;SameDay Drop off;;0;1
3/1/22;35781567;MADRID;28014;SameDay Drop off;;0;1
3/1/22;35781567;MADRID;28015;SameDay Drop off;;0;1
3/1/22;35781568;MADRID;28005;SameDay Drop off;;0;1
3/1/22;35781569;MADRID;28013;SameDay Drop off;;0;1
3/1/22;35781569;MADRID;28014;SameDay Drop off;;0;1
3/1/22;35781569;MADRID;28004;SameDay Drop off;;0;1
3/1/22;35781570;MADRID;28012;SameDay Drop off;;0;1
3/1/22;35781570;MADRID;28012;SameDay Drop off;;0;1
3/1/22;35781572;MADRID;28012;SameDay Drop off;;0;1
3/1/22;35781572;MADRID;28012;SameDay Drop off;;0;1
3/1/22;35781572;MADRID;28015;SameDay Drop off;;0;1
3/1/22;35781573;MADRID;28005;SameDay Drop off;;0;1
3/1/22;35781573;MADRID;28005;SameDay Drop off;;0;1
3/1/22;35781581;MADRID;28005;SameDay Drop off;;0;1
3/1/22;35781584;MADRID;28005;SameDay Drop off;;0;1
3/1/22;35781585;MADRID;28005;SameDay Drop off;;0;1
3/1/22;35781585;MADRID;28005;SameDay Drop off;;0;1
3/1/22;35781589;MADRID;28004;SameDay Drop off;;0;1
3/1/22;35781589;MADRID;28014;SameDay Drop off;;0;1
3/1/22;35781589;MADRID;28004;SameDay Drop off;;0;1
3/1/22;35781591;MADRID;28012;SameDay Drop off;;0;1
3/1/22;35781591;MADRID;28014;SameDay Drop off;;0;1
3/1/22;35781591;MADRID;28014;SameDay Drop off;;0;1
3/1/22;35781591;MADRID;28015;SameDay Drop off;;0;1
3/1/22;35781592;MADRID;28005;SameDay Drop off;;0;1
3/1/22;35781593;MADRID;28013;SameDay Drop off;;0;1
3/1/22;35781593;MADRID;28005;SameDay Drop off;;0;1
3/1/22;35781594;MADRID;28005;SameDay Drop off;;0;1
3/1/22;35781595;MADRID;28014;SameDay Drop off;;0;1
3/1/22;35781595;MADRID;28005;SameDay Drop off;;0;1
3/1/22;35781596;MADRID;28005;SameDay Drop off;;0;1
3/1/22;35781597;MADRID;28013;SameDay Drop off;;0;1
3/1/22;35781598;MADRID;28012;SameDay Drop off;;0;1
3/1/22;35781599;MADRID;28014;SameDay Drop off;;0;1
3/1/22;35781599;MADRID;28005;SameDay Drop off;;0;1
3/1/22;35781601;MADRID;28004;SameDay Drop off;;0;1
3/1/22;35781602;MADRID;28005;SameDay Drop off;;0;1
3/1/22;35781604;MADRID;28005;SameDay Drop off;;0;1
3/1/22;35781605;MADRID;28013;SameDay Drop off;;0;1
